Informazioni cronologiche,Chi sei?,1,2,3,4,11,5,6,7,8,9,10
26/04/2023 20.01.43,Valentina,Nay,Yay,Nay,Yay,Nay,Yay,Nay,Yay,Nay,Yay,Yay
26/04/2023 20.13.07,Lucrezia ,Nay,Nay,Nay,Yay,Nay,Nay,Nay,Nay,Nay,Yay,Yay
26/04/2023 21.39.24,La regina dei sondaggi,Nay,Nay,Yay,Yay,Nay,Yay,Yay,Nay,Nay,Yay,Yay
27/04/2023 6.55.26,Eugenio,Nay,Nay,Nay,Yay,Nay,Nay,Nay,Yay,Yay,Yay,Yay
27/04/2023 7.11.29,Un toporagno,Nay,Yay,Nay,Nay,Nay,Yay,,Yay,Nay,Nay,Nay
27/04/2023 12.17.20,sto cazzo ,Yay,Nay,Nay,Yay,Nay,Nay,Yay,Nay,Nay,Yay,Yay
27/04/2023 12.29.30,Beatrice ,Nay,,,Yay,Nay,Yay,Nay,Nay,,,
27/04/2023 14.41.53,Flavietta,Nay,Nay,Yay,Yay,Nay,Yay,Yay,Nay,Yay,Nay,
27/04/2023 14.46.04,Virgi :),Yay,Yay,Yay,Yay,Nay,,Yay,Nay,Nay,,Yay
28/04/2023 12.25.46,Pietro,Nay,Yay,Yay,Nay,Nay,Yay,Yay,Nay,Nay,Nay,Nay
28/04/2023 13.47.12,Ramona ,Nay,Nay,Nay,Yay,Nay,Nay,Yay,Yay,Nay,Yay,Yay
28/04/2023 13.49.57,Eric lo spagnolo-italiano,Nay,Nay,Yay,Yay,Nay,Nay,Yay,Yay,Yay,Yay,Nay
28/04/2023 13.50.18,Pierpaolo Brutti,Nay,Yay,Yay,Yay,Nay,Nay,Yay,Nay,Yay,Nay,Nay
28/04/2023 13.55.05,Giacomo,Nay,Nay,Nay,Yay,Nay,,Nay,Nay,Yay,Nay,Nay
28/04/2023 13.56.58,Albachiara,Nay,Nay,Yay,Yay,Nay,Yay,Nay,Nay,Yay,Nay,Yay
28/04/2023 13.57.08,Flavio,Nay,Nay,Yay,Yay,Nay,Nay,Yay,Nay,Yay,Yay,Yay
28/04/2023 13.57.17,Babbo natale ,Nay,Yay,Yay,Yay,Nay,Nay,Yay,Nay,Yay,Nay,Nay
28/04/2023 13.57.54,Silvio Berlusconi,Nay,Nay,Nay,Yay,Nay,Yay,Nay,Nay,Yay,Yay,Nay
28/04/2023 13.58.24,Erica,Nay,Yay,Nay,Nay,Nay,Yay,Nay,Nay,Nay,Nay,Nay
28/04/2023 13.58.27,Paolo barba,Nay,Nay,Yay,Nay,Nay,Yay,Nay,Nay,Nay,,
28/04/2023 13.58.54,Leo,Nay,Nay,Nay,Nay,,Nay,Nay,Yay,Yay,Yay,Yay
28/04/2023 14.00.29,Uno qualunque ,Yay,Nay,Yay,Yay,Yay,Nay,Nay,Nay,Yay,Nay,Nay
28/04/2023 14.00.54,Sara ,Yay,Nay,Nay,Nay,Yay,Nay,Yay,Nay,Nay,Yay,Yay
28/04/2023 14.03.18,Gianluca,Nay,Nay,Nay,Yay,Yay,Nay,Yay,Nay,Yay,Yay,Yay
28/04/2023 14.07.47,O mare for,Yay,Nay,Nay,Yay,Nay,Nay,Nay,Yay,Nay,Yay,Yay
28/04/2023 14.08.07,Jonas,Nay,Nay,Nay,Yay,Yay,Nay,Nay,Nay,Yay,Yay,Yay
28/04/2023 14.08.52,Marco,Nay,Yay,Nay,Yay,Nay,Nay,Yay,Nay,Nay,Nay,Nay
28/04/2023 14.13.11,Io,Yay,Yay,Nay,Yay,Nay,Nay,Nay,Nay,Nay,Nay,Yay
28/04/2023 14.13.23,Pino mauro,Nay,Yay,Nay,Yay,Nay,Yay,Nay,Yay,Nay,Nay,Nay
28/04/2023 14.16.27,l'oculista,Nay,Nay,Nay,Yay,Nay,Yay,Nay,Nay,Yay,Yay,Yay
28/04/2023 14.17.49,Giammarco,,,,,,,,,,Yay,
28/04/2023 14.18.29,Javi,Yay,Yay,Nay,Nay,Nay,Nay,Yay,Nay,Nay,Nay,Nay
28/04/2023 14.23.37,Giovanna,Nay,Yay,Yay,Nay,Nay,Nay,Yay,Nay,Yay,Nay,Nay
28/04/2023 14.25.21,Susanna (data science con te),Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yay,Nay,Yay
28/04/2023 14.28.29,Lucia Dicunta,Nay,Yay,Nay,Yay,Nay,Nay,Yay,Yay,Nay,Yay,Yay
28/04/2023 14.31.12,Voglio divertirmi,Nay,Nay,Nay,Yay,Nay,Nay,Nay,Nay,Nay,Yay,Yay
28/04/2023 14.45.09,Elisa,Nay,Yay,Nay,Yay,Nay,Yay,Nay,Nay,Nay,Yay,Yay
28/04/2023 14.57.05,Pierpaolo Brutti ,,Nay,,,Nay,Nay,Yay,,,Yay,Yay
28/04/2023 15.01.35,4n0n1m0!1!,Nay,Nay,Nay,Yay,Nay,Nay,Yay,Yay,Nay,Nay,Nay
28/04/2023 16.04.38,Ioan,Yay,Yay,Yay,Nay,Nay,Yay,Yay,Nay,Nay,Nay,Nay
28/04/2023 16.09.59,Claudio,Nay,Yay,Nay,Nay,Nay,Yay,Nay,Nay,Nay,Nay,Nay
28/04/2023 16.35.45,Stephanie,Nay,Nay,Nay,Nay,Nay,Yay,Nay,Yay,Yay,Nay,Yay
28/04/2023 19.01.27,Chiara,Nay,Yay,Nay,Yay,Nay,Nay,Yay,Nay,Nay,Yay,Nay
28/04/2023 19.01.59,Nessuno ,Nay,Nay,Nay,Yay,Nay,Nay,Nay,Nay,Nay,Yay,Yay
28/04/2023 19.11.49,Sto Cazzo Di Gregorio,Yay,Yay,Yay,Nay,Nay,Yay,Yay,Nay,Yay,Nay,Nay
